C.D.S.  -  SIMBAD4 rel 1.7  -  2021.07.09CEST12:11:53

coord 14 05 32.39 + 28 32 58.33 (ICRS, J2000, 2000.0), radius: 466.3949 arcsec
------------------------------------------------------------------------------

Number of objects : 380

 # |dist(asec)|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
---|----------|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
39 |     56.01|Cl* NGC 5466 NH 43                 |BS*|14 05 29.48 +28 32 17.5                |     ~|19.823|19.688|     ~|19.301|~              |   2|   0
40 |     56.18|[SMW2010] 1980                     |*  |14 05 31.85 +28 32 02.6                |     ~|17.95 |17.21 |     ~|16.47 |~              |   1|   0
41 |     56.23|[SHM2017] J211.37677+28.53573      |RR*|14 05 30.4116489590 +28 32 08.507816663|     ~|16.78 |16.39 |     ~|15.87 |~              |   7|   0
42 |     57.10|Cl* NGC 5466 FSBRGB 17             |RG*|14 05 31.38 +28 32 02.8                |     ~|15.632|14.634|     ~|13.548|~              |   2|   0
43 |     58.22|[SMW2010] 968                      |*  |14 05 35.90 +28 33 33.7                |     ~|19.49 |18.88 |     ~|18.16 |~              |   1|   0
44 |     59.40|[SHM2017] J211.40376+28.55045      |RR*|14 05 36.8917102047 +28 33 01.507066723|     ~|16.888|16.546|     ~|     ~|~              |   9|   0
45 |     60.17|Cl* NGC 5466 SAW V36               |SX*|14 05 28.10 +28 32 37.7                |     ~|18.97 |18.956|     ~|18.652|~              |  11|   0
46 |     60.27|Cl* NGC 5466 FSBRGB 47             |RG*|14 05 36.93 +28 33 05.7                |     ~|16.849|16.071|     ~|15.163|~              |   2|   0
47 |     60.78|Cl* NGC 5466 FSBHB 68              |HB*|14 05 27.78 +28 33 00.5                |     ~|16.702|16.608|     ~|16.504|~              |   1|   0
48 |     63.39|Cl* NGC 5466 FSBHB 69              |HB*|14 05 27.92 +28 32 34.9                |     ~|16.677|16.607|     ~|16.529|~              |   1|   0
