C.D.S.  -  SIMBAD4 rel 1.7  -  2021.07.09CEST12:11:53

coord 14 05 32.39 + 28 32 58.33 (ICRS, J2000, 2000.0), radius: 466.3949 arcsec
------------------------------------------------------------------------------

Number of objects : 380

 # |dist(asec)|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
---|----------|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
157|    125.36|Cl* NGC 5466 NH 26                 |BS*|14 05 22.96 +28 32 41.7                |     ~|18.711|18.893|     ~|18.570|~              |   3|   0
158|    125.94|[SMW2010] 2481                     |*  |14 05 26.39 +28 31 20.3                |     ~|15.52 |14.55 |     ~|13.47 |~              |   1|   0
159|    126.55|Cl* NGC 5466 FSBHB 38              |HB*|14 05 35.16 +28 34 59.5                |     ~|16.735|16.664|     ~|16.511|~              |   1|   0
160|    127.17|Cl* NGC 5466 FSBRGB 76             |RG*|14 05 30.96 +28 35 04.1                |     ~|17.290|16.569|     ~|15.637|~              |   1|   0
161|    128.66|Cl* NGC 5466 FSBHB 70              |HB*|14 05 24.18 +28 31 48.7                |     ~|16.709|16.589|     ~|16.418|~              |   1|   0
162|    129.14|Cl* NGC 5466 NH 21                 |BS*|14 05 33.26 +28 30 49.7                |     ~|18.488|18.347|     ~|18.235|~              |   3|   0
163|    129.22|Cl* NGC 5466 FSBHB 73              |HB*|14 05 26.22 +28 31 17.9                |     ~|16.747|16.664|     ~|16.607|~              |   1|   0
164|    130.09|Cl* NGC 5466 NH 91                 |BS*|14 05 29.51 +28 30 53.9                |     ~|20.381|20.084|     ~|     ~|~              |   1|   0
165|    130.47|Cl* NGC 5466 FSBHB V5              |RR*|14 05 23.0970838292 +28 33 43.414558299|     ~|16.844|16.14 |     ~|     ~|~              |  10|   0
166|    130.59|Cl* NGC 5466 FSBHB 43              |HB*|14 05 41.36 +28 33 53.9                |     ~|16.739|16.620|     ~|16.457|~              |   1|   0
167|    131.60|Cl* NGC 5466 FSBRGB 27             |RG*|14 05 31.31 +28 30 47.5                |     ~|16.280|15.421|     ~|14.389|~              |   1|   0
168|    131.88|Gaia DR2 1452626079163407616       |*  |14 05 34.7347114461 +28 30 50.120888342|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
169|    132.85|Cl* NGC 5466 FSBHB 21              |HB*|14 05 27.99 +28 30 58.8                |     ~|16.683|16.544|     ~|16.306|~              |   2|   0
170|    133.02|Cl* NGC 5466 FSBRGB 87             |RG*|14 05 23.86 +28 31 47.2                |     ~|17.551|16.799|     ~|15.927|~              |   1|   0
171|    133.47|Cl* NGC 5466 NH 61                 |BS*|14 05 23.80 +28 31 47.6                |     ~|19.593|19.799|     ~|19.365|~              |   1|   0
172|    133.82|Cl* NGC 5466 FSBHB 75              |HB*|14 05 24.39 +28 31 35.9                |     ~|16.778|16.749|     ~|16.725|~              |   1|   0
173|    134.68|Cl* NGC 5466 SXP 1                 |SX*|14 05 39.25 +28 31 18.5                |     ~|19.13 |18.94 |     ~|18.620|~              |   4|   0
174|    136.09|Cl* NGC 5466 FSBHB 30              |HB*|14 05 39.92 +28 31 25.2                |     ~|16.715|16.304|     ~|15.706|~              |   2|   0
175|    137.22|Gaia DR2 1452626250963745408       |*  |14 05 31.6512044680 +28 30 41.457128843|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
176|    137.35|Cl* NGC 5466 SAW V35               |SX*|14 05 35.07 +28 30 45.6                |     ~|19.009|19.048|     ~|18.702|~              |  14|   0
177|    139.17|2MASS J14053928+2831129            |RG*|14 05 39.2791085112 +28 31 12.849147089|     ~|14.874|13.591|     ~|12.251|~              |   7|   0
178|    139.55|Cl* NGC 5466 FSBRGB 91             |RG*|14 05 26.42 +28 34 53.6                |     ~|17.528|16.837|     ~|15.952|~              |   1|   0
179|    139.86|Cl* NGC 5466 FSBRGB 60             |RG*|14 05 40.60 +28 31 29.7                |     ~|17.085|16.337|     ~|15.367|~              |   1|   0
180|    140.09|Cl* NGC 5466 SAW V31               |SX*|14 05 23.68 +28 31 38.0                |     ~|18.937|18.823|     ~|18.575|~              |  14|   0
181|    141.14|Cl* NGC 5466 FSBRGB 63             |RG*|14 05 30.12 +28 30 40.4                |     ~|17.107|16.349|     ~|15.399|~              |   1|   0
182|    141.41|Cl* NGC 5466 NH 80                 |BS*|14 05 22.53 +28 33 54.2                |     ~|19.766|19.479|     ~|18.667|~              |   1|   0
183|    142.67|Cl* NGC 5466 FSBRGB 23             |RG*|14 05 28.70 +28 30 44.2                |     ~|16.063|15.153|     ~|14.088|~              |   1|   0
184|    143.43|Cl* NGC 5466 SAW V32               |SX*|14 05 25.93 +28 31 02.9                |     ~|19.418|19.067|     ~|18.723|~              |  13|   0
185|    143.76|Gaia DR2 1452626246667254400       |*  |14 05 31.9053909654 +28 30 34.714886688|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
186|    144.00|Gaia DR2 1452629583858549888       |*  |14 05 22.4211715103 +28 33 57.364421404|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
187|    144.28|Cl* NGC 5466 FSBHB 22              |HB*|14 05 23.64 +28 31 31.6                |     ~|16.690|16.536|     ~|16.309|~              |   1|   0
188|    144.65|Cl* NGC 5466 FSBRGB 26             |RG*|14 05 26.63 +28 30 55.2                |     ~|16.217|15.341|     ~|14.343|~              |   2|   0
189|    145.51|Cl* NGC 5466 FSBRGB 29             |RG*|14 05 36.29 +28 30 42.2                |     ~|16.308|15.463|     ~|14.428|~              |   1|   0
190|    145.99|Cl* NGC 5466 NH 72                 |BS*|14 05 23.19 +28 31 37.0                |     ~|19.842|19.685|     ~|18.550|~              |   1|   0
191|    146.61|Cl* NGC 5466 NH 4                  |BS*|14 05 21.49 +28 33 27.8                |     ~|19.227|19.055|     ~|18.846|~              |   2|   0
192|    147.16|Cl* NGC 5466 NH 66                 |BS*|14 05 21.76 +28 32 13.2                |     ~|19.681|19.393|     ~|18.109|~              |   1|   0
193|    147.40|Cl* NGC 5466 FSBHB 48              |HB*|14 05 21.97 +28 33 52.0                |     ~|16.754|16.733|     ~|16.628|~              |   1|   0
194|    147.81|Gaia DR2 1452631885959897216       |*  |14 05 41.0320492559 +28 31 24.107419227|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
195|    148.37|Cl* NGC 5466 NH 5                  |BS*|14 05 21.16 +28 33 09.3                |     ~|18.563|18.274|     ~|17.831|~              |   2|   0
196|    148.86|Cl* NGC 5466 NH 71                 |BS*|14 05 23.16 +28 31 32.5                |     ~|19.948|19.667|     ~|18.950|~              |   1|   0
197|    148.88|Cl* NGC 5466 BBC V3                |RR*|14 05 21.9689379633 +28 32 00.796492512|     ~|16.971|16.668|     ~|     ~|~              |   9|   0
198|    150.87|Cl* NGC 5466 FSBHB 16              |HB*|14 05 31.34 +28 30 28.1                |     ~|16.672|16.520|     ~|16.289|~              |   1|   0
199|    151.09|Cl* NGC 5466 FSBHB V17             |HB*|14 05 23.5463308095 +28 31 22.172259291|     ~|16.637|16.302|     ~|     ~|~              |   6|   0
200|    153.13|Cl* NGC 5466 NH 40                 |BS*|14 05 29.85 +28 30 28.9                |     ~|19.565|19.365|     ~|19.081|~              |   2|   0
201|    153.29|Cl* NGC 5466 NH 82                 |BS*|14 05 22.97 +28 31 28.4                |     ~|20.400|20.118|     ~|19.710|~              |   1|   0
202|    153.53|Gaia DR2 1452626250962109696       |*  |14 05 29.8031649377 +28 30 28.634247223|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
203|    153.71|Cl* NGC 5466 NH 25                 |BS*|14 05 25.18 +28 30 57.5                |     ~|19.308|19.130|     ~|18.861|~              |   2|   0
204|    154.62|Gaia DR2 1452626216602471296       |*  |14 05 24.0713549434 +28 31 09.283925920|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
205|    154.71|Cl* NGC 5466 FSBHB 29              |HB*|14 05 22.16 +28 34 14.3                |     ~|16.712|16.632|     ~|16.440|~              |   1|   0
206|    155.09|Cl* NGC 5466 FSBRGB 31             |RG*|14 05 25.77 +28 30 50.1                |     ~|16.330|15.482|     ~|14.484|~              |   2|   0
207|    155.33|Cl* NGC 5466 CUF 3421              |*  |14 05 36.1495443750 +28 35 25.558051777|     ~|18.56 |17.89 |     ~|     ~|~              |   3|   0
208|    156.26|Cl* NGC 5466 FSBHB 56              |HB*|14 05 41.5670703029 +28 34 37.322976302|     ~|17.307|17.423|     ~|17.524|~              |   2|   0
209|    156.61|Cl* NGC 5466 FSBRGB 90             |RG*|14 05 21.24 +28 32 04.1                |     ~|17.542|16.835|     ~|15.947|~              |   1|   0
210|    158.46|Cl* NGC 5466 FSBHB V12             |RR*|14 05 29.4307960639 +28 30 24.738772713|     ~|16.705|16.28 |     ~|     ~|~              |   7|   0
211|    158.72|Gaia DR2 1452629343338818816       |*  |14 05 20.4291334178 +28 32 39.519653974|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
212|    159.78|Cl* NGC 5466 FSBRGB 59             |RG*|14 05 26.27 +28 30 40.4                |     ~|17.054|16.286|     ~|15.366|~              |   2|   0
213|    159.89|Cl* NGC 5466 NH 9                  |BS*|14 05 20.46 +28 33 27.6                |     ~|19.138|18.971|     ~|18.751|~              |   3|   0
214|    160.03|Cl* NGC 5466 FSBRGB 74             |RG*|14 05 21.38 +28 31 50.8                |     ~|17.256|16.519|     ~|15.590|~              |   1|   0
215|    160.76|Gaia DR2 1452629549497273856       |*  |14 05 20.6890658798 +28 33 43.923763305|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
216|    161.25|Gaia DR2 1452635596811432064       |*  |14 05 31.2275765223 +28 35 38.849441511|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
217|    161.61|Cl* NGC 5466 FSBHB 23              |HB*|14 05 35.2353948215 +28 35 35.532408479|     ~|16.692|16.557|     ~|16.289|~              |   3|   0
218|    162.33|Cl* NGC 5466 FSBHB 32              |HB*|14 05 26.28 +28 35 19.3                |     ~|16.719|16.660|     ~|16.541|~              |   1|   0
219|    162.48|Cl* NGC 5466 NH 16                 |BS*|14 05 44.68 +28 32 45.0                |     ~|20.076|19.811|     ~|19.322|~              |   2|   0
220|    163.49|[SMW2010] 2840                     |*  |14 05 24.90 +28 30 48.0                |     ~|18.01 |17.31 |     ~|16.47 |~              |   1|   0
221|    165.83|Cl* NGC 5466 SAW V34               |SX*|14 05 20.81 +28 31 53.4                |     ~|18.781|18.544|     ~|18.286|~              |  14|   0
222|    166.80|Cl* NGC 5466 NH 11                 |BS*|14 05 24.16 +28 30 51.6                |     ~|19.356|19.128|     ~|18.996|~              |   2|   0
223|    167.22|Cl* NGC 5466 FSBHB 40              |HB*|14 05 42.19 +28 31 12.1                |     ~|16.737|16.708|     ~|16.615|~              |   2|   0
224|    168.92|2MASS J14051960+2833079            |RG*|14 05 19.5891736071 +28 33 07.698472977|     ~|15.682|14.700|     ~|13.584|~              |   2|   0
225|    169.13|Cl* NGC 5466 FSBRGB 79             |RG*|14 05 27.53 +28 30 21.8                |     ~|17.401|16.672|     ~|15.747|~              |   1|   0
226|    169.70|Cl* NGC 5466 NH 67                 |BS*|14 05 20.11 +28 32 07.2                |     ~|19.718|19.482|     ~|18.576|~              |   1|   0
227|    170.33|Gaia DR2 1452629545202228736       |*  |14 05 20.0584401994 +28 33 49.468622656|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
228|    171.24|Cl* NGC 5466 FSBRGB 52             |RG*|14 05 29.46 +28 30 11.5                |     ~|16.943|16.164|     ~|15.183|~              |   1|   0
229|    171.64|Cl* NGC 5466 NH 46                 |BS*|14 05 32.24 +28 30 06.7                |     ~|19.123|18.916|     ~|18.871|~              |   2|   0
230|    171.84|Cl* NGC 5466 NH 65                 |BS*|14 05 19.42 +28 33 16.4                |     ~|19.435|19.266|     ~|     ~|~              |   1|   0
231|    172.48|Cl* NGC 5466 FSBHB V15             |RR*|14 05 45.0458821931 +28 32 14.292816130|     ~|16.735|16.25 |     ~|     ~|~              |   9|   0
232|    173.45|Gaia DR2 1452631881664347648       |*  |14 05 40.2266522618 +28 30 38.981232316|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
233|    173.74|[SMW2010] 3033                     |*  |14 05 25.86 +28 30 27.4                |     ~|16.40 |15.84 |     ~|15.15 |~              |   1|   0
234|    174.45|[SHM2017] J211.35180+28.51088      |RR*|14 05 24.4194985688 +28 30 39.049433247|     ~|16.797|16.556|     ~|     ~|~              |   7|   0
235|    174.50|Gaia DR2 1452629648281471872       |*  |14 05 21.6326587026 +28 34 40.149934835|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
236|    174.61|Cl* NGC 5466 NH 18                 |BS*|14 05 19.44 +28 32 21.3                |     ~|20.026|19.800|     ~|19.484|~              |   2|   0
237|    175.11|Cl* NGC 5466 FSBRGB 67             |RG*|14 05 35.97 +28 30 09.7                |     ~|17.153|16.400|     ~|15.410|~              |   1|   0
238|    175.11|Cl* NGC 5466 FSBHB 55              |HB*|14 05 19.98 +28 31 55.7                |     ~|16.883|16.425|     ~|15.817|~              |   1|   0
239|    175.61|Cl* NGC 5466 FSBHB 41              |HB*|14 05 20.12 +28 31 49.8                |     ~|16.737|16.707|     ~|16.578|~              |   1|   0
240|    175.83|Cl* NGC 5466 NH 28                 |BS*|14 05 20.58 +28 31 36.5                |     ~|19.029|18.821|     ~|18.393|~              |   3|   0
241|    176.03|Gaia DR2 1452629240259599616       |*  |14 05 19.3309874440 +28 32 21.221924558|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
242|    178.38|[SMW2010] 2725                     |*  |14 05 22.37 +28 30 58.4                |     ~|18.82 |18.23 |     ~|17.41 |~              |   1|   0
243|    179.62|Cl* NGC 5466 NH 90                 |BS*|14 05 18.83 +28 32 39.9                |     ~|18.973|18.863|     ~|     ~|~              |   2|   0
244|    179.64|Cl* NGC 5466 FSBRGB 13             |RG*|14 05 23.54 +28 30 41.7                |     ~|15.565|14.567|     ~|13.424|~              |   2|   0
245|    179.93|[SMW2010] 3113                     |*  |14 05 26.33 +28 30 17.1                |     ~|18.96 |18.35 |     ~|17.58 |~              |   1|   0
246|    180.71|Cl* NGC 5466 FSBRGB 12             |RG*|14 05 25.37 +28 30 23.1                |     ~|15.493|14.504|     ~|13.419|~              |   2|   0
247|    181.26|Cl* NGC 5466 FSBHB 17              |HB*|14 05 18.75 +28 32 34.8                |     ~|16.673|16.594|     ~|16.419|~              |   1|   0
248|    181.85|Cl* NGC 5466 NH 74                 |BS*|14 05 18.65 +28 33 15.5                |     ~|20.143|19.889|     ~|19.131|~              |   1|   0
249|    182.06|Gaia DR2 1452629549497784064       |*  |14 05 18.7057676923 +28 33 23.610949186|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
250|    185.05|Gaia DR2 1452629240259894272       |*  |14 05 18.7561147772 +28 32 13.963777473|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
251|    189.98|Gaia DR2 1452629613921711104       |*  |14 05 18.7154447486 +28 33 58.613733621|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
252|    191.28|2MASS J14054453+2831135            |*  |14 05 44.5280227450 +28 31 13.436893994|     ~|15.56 |14.62 |     ~|13.55 |~              |   3|   0
253|    192.42|Cl* NGC 5466 NH 32                 |BS*|14 05 25.73 +28 30 07.1                |     ~|19.354|19.046|     ~|18.712|~              |   2|   0
254|    192.61|[SMW2010] 2957                     |*  |14 05 22.72 +28 30 33.9                |     ~|18.09 |17.64 |     ~|16.82 |~              |   1|   0
255|    192.75|Cl* NGC 5466 FSBRGB 48             |RG*|14 05 45.97 +28 31 46.7                |     ~|16.890|16.122|     ~|15.147|~              |   1|   0
256|    193.26|Cl* NGC 5466 FSBHB 19              |HB*|14 05 17.73 +28 32 52.2                |     ~|16.678|16.571|     ~|16.357|~              |   1|   0
257|    194.54|Cl* NGC 5466 NH 78                 |BS*|14 05 19.88 +28 34 41.7                |     ~|20.356|20.079|     ~|19.699|~              |   1|   0
258|    194.64|Gaia DR2 1452629137180312832       |WD?|14 05 19.6698498114 +28 31 19.397225983|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
259|    194.73|Cl* NGC 5466 FSBRGB 14             |RG*|14 05 39.96 +28 30 11.1                |     ~|15.575|14.581|     ~|13.457|~              |   2|   0
260|    195.80|Gaia DR2 1452629648281888384       |*  |14 05 19.7653459672 +28 34 41.652578116|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
261|    196.00|[SMW2010] 3078                     |*  |14 05 23.48 +28 30 21.4                |     ~|19.25 |18.67 |     ~|17.90 |~              |   1|   0
262|    196.32|Cl* NGC 5466 NH 77                 |BS*|14 05 23.26 +28 30 23.2                |     ~|20.260|19.961|     ~|19.057|~              |   1|   0
263|    197.60|Cl* NGC 5466 FSBRGB 25             |RG*|14 05 45.74 +28 34 28.4                |     ~|16.201|15.369|     ~|13.809|~              |   1|   0
264|    197.61|Cl* NGC 5466 FSBRGB 44             |RG*|14 05 23.70 +28 35 39.4                |     ~|16.838|16.063|     ~|15.096|~              |   1|   0
265|    198.60|Gaia DR2 1452635562451940864       |*  |14 05 27.1279543589 +28 36 04.439585533|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
266|    198.65|Gaia DR2 1452629652577904128       |*  |14 05 19.8775094819 +28 34 49.194084339|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
267|    199.23|Cl* NGC 5466 FSBRGB 53             |RG*|14 05 32.43 +28 29 39.1                |     ~|16.946|16.162|     ~|15.203|~              |   1|   0
268|    199.70|[SSS2019] UV-BSS1                  |BS*|14 05 21.43 +28 30 40.4                |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
269|    200.15|Gaia DR2 1452629648281474048       |*  |14 05 19.5046573153 +28 34 44.370576833|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
270|    200.71|Cl* NGC 5466 FSBHB 37              |HB*|14 05 33.64 +28 29 38.3                |     ~|16.730|16.660|     ~|16.546|~              |   1|   0
271|    201.31|Cl* NGC 5466 FSBRGB 95             |RG*|14 05 30.67 +28 29 38.3                |     ~|17.675|16.967|     ~|16.066|~              |   1|   0
272|    201.90|Cl* NGC 5466 FSBRGB 89             |RG*|14 05 46.63 +28 31 43.8                |     ~|17.553|16.856|     ~|15.939|~              |   1|   0
273|    203.92|Cl* NGC 5466 FSBRGB 83             |RG*|14 05 28.10 +28 29 42.4                |     ~|17.473|16.751|     ~|15.836|~              |   1|   0
274|    204.40|Cl* NGC 5466 FSBHB 42              |HB*|14 05 18.05 +28 31 40.4                |     ~|16.738|16.614|     ~|16.458|~              |   1|   0
275|    207.32|Cl* NGC 5466 NH 7                  |BS*|14 05 17.27 +28 32 01.0                |     ~|18.848|18.738|     ~|18.554|~              |   3|   0
276|    207.36|2MASS J14052283+2830138            |RG*|14 05 22.8176800278 +28 30 13.761748902|     ~|14.902|13.538|     ~|12.184|~              |   7|   0
277|    207.60|Cl* NGC 5466 FSBRGB 38             |RG*|14 05 48.08 +28 33 17.3                |     ~|16.644|15.854|     ~|14.855|~              |   1|   0
278|    208.63|Gaia DR2 1452629613926631936       |*  |14 05 17.2708129367 +28 34 00.349171260|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
279|    209.55|Gaia DR2 1452632500140151936       |*  |14 05 47.6532934124 +28 33 57.244026127|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
280|    209.68|Gaia DR2 1452629613921696512       |*  |14 05 16.7138110004 +28 33 34.486647310|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
281|    211.58|[SMW2010] 2753                     |*  |14 05 19.35 +28 30 54.9                |     ~|17.85 |17.13 |     ~|16.33 |~              |   1|   0
282|    212.31|Cl* NGC 5466 SAW V2                |RR*|14 05 23.4431268730 +28 30 01.771369246|     ~|16.77 |16.67 |     ~|16.03 |~              |   8|   0
283|    212.60|Cl* NGC 5466 FSBHB 34              |HB*|14 05 25.22 +28 36 08.8                |     ~|16.719|16.650|     ~|16.495|~              |   1|   0
284|    214.13|Cl* NGC 5466 FSBHB 18              |HB*|14 05 28.70 +28 29 29.8                |     ~|16.676|16.604|     ~|16.523|~              |   1|   0
285|    215.29|Cl* NGC 5466 FSBRGB 75             |RG*|14 05 20.40 +28 30 32.1                |     ~|17.273|16.525|     ~|15.566|~              |   1|   0
286|    215.88|[SMW2010] 3192                     |*  |14 05 22.77 +28 30 03.6                |     ~|19.46 |19.29 |     ~|18.78 |~              |   1|   0
287|    217.20|Cl* NGC 5466 NH 8                  |BS*|14 05 16.37 +28 32 07.2                |     ~|18.873|18.634|     ~|18.337|~              |   2|   0
288|    218.23|Cl* NGC 5466 NH 47                 |BS*|14 05 36.31 +28 29 26.3                |     ~|19.745|19.499|     ~|19.284|~              |   2|   0
289|    221.40|Cl* NGC 5466 NH 79                 |BS*|14 05 16.17 +28 33 56.2                |     ~|19.786|19.476|     ~|18.908|~              |   1|   0
290|    221.98|2MASS J14054108+2829482            |RG*|14 05 41.0754366889 +28 29 48.144105547|     ~|15.886|14.963|     ~|13.884|~              |   9|   0
291|    224.83|Cl* NGC 5466 FSBRGB 77             |RG*|14 05 17.53 +28 34 48.9                |     ~|17.329|16.624|     ~|15.690|~              |   1|   0
292|    227.67|Gaia DR2 1452629205901282304       |*  |14 05 17.4118789071 +28 31 04.865755935|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
293|    229.19|Gaia DR2 1452629205900411520       |*  |14 05 16.3135715757 +28 31 30.870145627|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
294|    230.27|Cl* NGC 5466 FSBHB 44              |HB*|14 05 15.45 +28 32 01.8                |     ~|16.742|16.712|     ~|16.631|~              |   1|   0
295|    231.42|Cl* NGC 5466 FSBRGB 33             |RG*|14 05 29.77 +28 29 09.5                |     ~|16.460|15.614|     ~|14.596|~              |   1|   0
296|    233.28|[SMW2010] 3401                     |*  |14 05 25.60 +28 29 22.9                |     ~|18.40 |17.81 |     ~|16.97 |~              |   1|   0
297|    235.48|Cl* NGC 5466 FSBHB 25              |HB*|14 05 23.30 +28 29 35.6                |     ~|16.702|16.616|     ~|16.497|~              |   2|   0
298|    235.63|Cl* NGC 5466 FSBHB 51              |HB*|14 05 38.94 +28 36 37.6                |     ~|16.760|16.758|     ~|16.672|~              |   1|   0
299|    235.74|Gaia DR2 1452635798674678272       |*  |14 05 40.3745814310 +28 36 29.309926274|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
300|    238.37|Cl* NGC 5466 FSBHB 28              |HB*|14 05 15.40 +28 34 20.3                |     ~|16.712|16.622|     ~|16.490|~              |   1|   0
301|    238.66|Cl* NGC 5466 FSBHB 45              |HB*|14 05 14.29 +28 32 49.3                |     ~|16.750|16.372|     ~|15.725|~              |   1|   0
302|    239.70|Gaia DR2 1452636314070754688       |*  |14 05 23.8285257070 +28 36 29.845686489|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
303|    241.27|Cl* NGC 5466 FSBHB 15              |HB*|14 05 14.16 +28 32 35.7                |     ~|16.614|16.491|     ~|16.278|~              |   1|   0
304|    243.32|Cl* NGC 5466 FSBHB 36              |HB*|14 05 15.30 +28 31 26.2                |     ~|16.729|16.598|     ~|16.371|~              |   1|   0
305|    244.73|2MASS J14051383+2832515            |RG*|14 05 13.8241759921 +28 32 51.346211623|     ~|15.494|14.452|     ~|13.286|~              |   5|   0
306|    247.21|Cl* NGC 5466 FSBHB 24              |HB*|14 05 29.96 +28 28 53.2                |     ~|16.698|16.625|     ~|16.510|~              |   1|   0
307|    249.70|2MASS J14052071+2829419            |RG*|14 05 20.7012894580 +28 29 41.813600059|     ~|15.652|14.633|     ~|13.528|~              |  10|   0
308|    249.85|V* BL Boo                          |Ce*|14 05 40.4633848176 +28 29 12.275633661|     ~|15.10 |14.75 |     ~|     ~|~              |  32|   0
309|    251.91|LEDA 1840894                       |G  |14 05 39.9 +28 36 50                   |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
310|    252.66|Cl* NGC 5466 NH 89                 |BS*|14 05 40.25 +28 36 48.8                |     ~|18.406|18.455|     ~|     ~|~              |   1|   0
311|    254.74|Cl* NGC 5466 FSBHB V22             |HB*|14 05 16.61 +28 30 31.2                |     ~|16.638|16.480|     ~|16.289|~              |   3|   1
312|    257.04|Cl* NGC 5466 FSBHB 47              |HB*|14 05 32.23 +28 28 41.3                |     ~|16.753|16.732|     ~|16.672|~              |   1|   0
313|    259.99|Gaia DR2 1452625799990624000       |*  |14 05 20.8480517869 +28 29 27.494021900|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
314|    261.44|FIRST J140549.8+283502             |Rad|14 05 49.85 +28 35 02.6                |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
315|    263.79|Cl* NGC 5466 FSBRGB 93             |RG*|14 05 16.69 +28 30 14.7                |     ~|17.585|16.877|     ~|15.965|~              |   1|   0
316|    266.72|Gaia DR2 1452629476482713856       |*  |14 05 12.2593176268 +28 32 30.438680123|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
317|    267.87|Cl* NGC 5466 NH 22                 |BS*|14 05 30.99 +28 28 31.1                |     ~|19.651|19.443|     ~|19.279|~              |   3|   0
318|    268.23|2MASS J14051837+2836129            |RG*|14 05 18.37752 +28 36 12.9528          |     ~|15.265|14.153|     ~|12.947|~              |   3|   0
319|    268.65|[SMW2010] 3387                     |*  |14 05 20.09 +28 29 24.1                |     ~|19.21 |18.66 |     ~|17.88 |~              |   1|   0
320|    276.07|Cl* NGC 5466 FSBRGB 46             |RG*|14 05 15.43 +28 30 16.3                |     ~|16.883|16.112|     ~|15.154|~              |   1|   0
321|    276.10|Cl* NGC 5466 FSBHB V23             |HB*|14 05 53.0077212347 +28 32 09.101451223|     ~|16.787|16.407|     ~|     ~|~              |   5|   0
322|    278.05|FIRST J140516.1+283000             |Rad|14 05 16.19 +28 30 00.2                |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
323|    279.40|Cl* NGC 5466 FSBHB V20             |RR*|14 05 11.2837037376 +28 32 31.438749168|     ~|16.706|16.40 |     ~|     ~|~              |   8|   0
324|    279.62|Cl* NGC 5466 FSBHB 50              |HB*|14 05 24.09 +28 28 41.0                |     ~|16.758|16.718|     ~|16.632|~              |   1|   0
325|    283.17|Gaia DR2 1452632534499501440       |*  |14 05 51.7144700094 +28 35 02.327238498|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
326|    283.52|Cl* NGC 5466 FSBHB 53              |HB*|14 05 34.59 +28 28 16.3                |     ~|16.804|16.808|     ~|16.736|~              |   1|   0
327|    283.87|Gaia DR2 1452628827943293568       |WD?|14 05 13.6005202978 +28 30 39.522515936|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
328|    286.26|Cl* NGC 5466 NH 81                 |BS*|14 05 34.91 +28 28 14.0                |     ~|20.377|20.093|     ~|19.542|~              |   1|   0
329|    292.72|SDSS J140516.68+283625.3           |WD*|14 05 16.6797288123 +28 36 25.353516598|     ~|     ~|     ~|     ~|     ~|DAZ:           |   1|   0
330|    293.41|Gaia DR2 1452631194470026880       |*  |14 05 51.4094168204 +28 30 25.808507670|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
331|    294.98|Cl* NGC 5466 FSBHB 54              |HB*|14 05 29.69 +28 28 05.5                |     ~|16.878|16.345|     ~|15.606|~              |   1|   0
332|    302.79|Cl* NGC 5466 FSBRGB 50             |RG*|14 05 40.75 +28 28 16.3                |     ~|16.951|16.140|     ~|15.162|~              |   1|   0
333|    304.31|2MASS J14051967+2837124            |RG*|14 05 19.6609805886 +28 37 12.284409260|     ~|17.057|16.296|     ~|15.388|~              |   2|   0
